 6240048,   210,  3623,    90,  6328,    99
 6250048,   205,  3601,    85,  6317,    97
 6260050,   200,  3581,    80,  6299,    92
 6270048,   195,  3564,    76,  6283,    89
 6280049,   190,  3551,    73,  6269,    85
 6290047,   185,  3534,    69,  6252,    81
 6300049,   180,  3519,    65,  6231,    76
 6310050,   175,  3497,    60,  6209,    71
 6320049,   170,  3471,    54,  6185,    65
 6330049,   165,  3445,    47,  6163,    60
 6340048,   160,  3422,    42,  6143,    55
 6350048,   155,  3403,    37,  6126,    51
 6360049,   150,  3389,    34,  6100,    44
 6370050,   145,  3369,    29,  6080,    39
 6380049,   140,  3344,    23,  6052,    33
 6390048,   135,  3318,    17,  6036,    29
 6400048,   130,  3294,    11,  6022,    25
 6410047,   125,  3270,     5,  6005,    21
 6420050,   120,  3254,     1,  5988,    17
 6430050,   115,  3225,   354,  5962,    11
 6440050,   110,  3185,   345,  5937,     5
 6450049,   105,  3149,   336,  5912,   359
 6460049,   100,  3126,   330,  5887,   353
 6470048,    95,  3109,   326,  5873,   349
 6480048,    90,  3086,   321,  5852,   344
 6490048,    85,  3063,   315,  5831,   339
 6500049,    80,  3043,   310,  5810,   334
 6510048,    75,  3029,   307,  5786,   328
 6520049,    70,  3010,   302,  5765,   323
 6530047,    65,  2992,   298,  5744,   318
 6540048,    60,  2966,   292,  5718,   312
 6550050,    55,  2944,   286,  5689,   305
 6560048,    50,  2926,   282,  5664,   299
 6570050,    45,  2910,   278,  5643,   294
 6580048,    40,  2895,   274,  5625,   289
 6590050,    35,  2875,   270,  5606,   285
 6600049,    30,  2860,   266,  5586,   280
 6610050,    25,  2838,   261,  5559,   274
 6620049,    20,  2820,   256,  5550,   271
 6630049,    15,  2801,   252,  5531,   267
 6640049,    10,  2786,   248,  5523,   265
 6650049,     5,  2770,   244,  5504,   260
 6660049,     0,  2753,   240,  5483,   255
 6670049,   355,  2732,   235,  5449,   247
 6680048,   350,  2710,   230,  5426,   241
 6690048,   345,  2685,   224,  5401,   235
 6700048,   340,  2666,   219,  5380,   230
 6710048,   335,  2650,   215,  5362,   226
 6720048,   330,  2634,   211,  5341,   221
 6730049,   325,  2616,   207,  5320,   216
 6740050,   320,  2591,   201,  5301,   211
 6750049,   315,  2560,   193,  5286,   208
 6760050,   310,  2531,   186,  5263,   202
 6770049,   305,  2509,   181,  5252,   199
 6780048,   300,  2480,   174,  5231,   194
 6790050,   295,  2446,   166,  5209,   189
 6800049,   290,  2411,   157,  5182,   182
 6810047,   285,  2385,   151,  5161,   177
 6820048,   280,  2364,   146,  5140,   172
 6830047,   275,  2343,   141,  5126,   169
 6840049,   270,  2318,   135,  5108,   164
 6850050,   265,  2296,   130,  5080,   158
 6860050,   260,  2279,   126,  5054,   151
 6870049,   255,  2264,   122,  5035,   147
 6880049,   250,  2251,   119,  5019,   143
 6890049,   245,  2232,   114,  4993,   137
 6900049,   240,  2210,   109,  4973,   132
 6910048,   235,  2187,   103,  4942,   124
 6920048,   230,  2169,    99,  4911,   117
 6930048,   225,  2149,    94,  4887,   111
 6940048,   220,  2131,    90,  4868,   106
 6950048,   215,  2113,    85,  4848,   102
 6960047,   210,  2097,    81,  4826,    96
 6970050,   205,  2079,    77,  4808,    92
 6980048,   200,  2056,    72,  4789,    87
 6990050,   195,  2043,    68,  4771,    83
 7000048,   190,  2030,    65,  4758,    80
 7010049,   185,  2013,    61,  4732,    74
 7020050,   180,  1997,    57,  4704,    67
